Case,SA?,RB?,Period,Fleet Size,Capacity,Dmd Rate,Service Rate,reqs served,of total reqs,wait time,inveh time,service dist,service time,service pct,rebl dist,rebl time,rebl pct,
BAL5,no,sar,10800,20,4,100,100,333,333,161.0593838,438.9714945,46328.29647,7721.382745,71.49428467,12216.48122,2036.080203,18.85259447,
BAL5,no,sar,10800,20,4,100,100,288,288,149.1649315,412.1349684,41222.48146,6870.413577,63.61494053,15836.75779,2639.459631,24.43944103,
BAL5,no,sar,10800,20,4,100,100,306,306,161.1161394,418.4590057,40919.63477,6819.939128,63.14758452,16528.96696,2754.827827,25.50766506,
BAL5,no,sar,10800,20,4,100,100,280,280,138.0852084,397.3074894,38095.26159,6349.210266,58.78898394,18752.59178,3125.431963,28.93918484,
BAL5,no,sar,10800,20,4,100,100,323,323,156.0134114,428.0548881,44751.95912,7458.659854,69.06166531,13229.16514,2204.860856,20.4153783,
BAL5,no,sar,10800,20,4,100,100,289,289,160.2567948,422.7904179,40208.78173,6701.463621,62.05058909,16967.44286,2827.907143,26.1843254,
BAL5,no,sar,10800,20,4,100,100,294,294,170.3750808,428.09722,43388.51963,7231.419939,66.95759202,14879.8803,2479.98005,22.96277824,
BAL5,no,sar,10800,20,4,100,100,346,346,150.7205922,425.2736987,45117.12075,7519.520125,69.62518634,13033.26005,2172.210008,20.11305563,
BAL5,no,sar,10800,20,4,100,100,306,306,159.5041169,426.6530714,43038.1107,7173.018449,66.41683749,15143.93256,2523.988761,23.3702663,
BAL5,no,sar,10800,20,4,100,100,298,298,158.1880221,412.4155616,39199.03333,6533.172222,60.49233539,18019.9937,3003.332284,27.80863226,
,,,,,,,,,,155.6404498,416.5280895,41288.09486,6881.349143,63.71619577,16404.41606,2734.069344,25.31545689,
BAL5,no,dqn,10800,20,4,100,100,326,326,150.9030832,418.6419516,44703.78923,7450.631538,68.98732906,11885.74635,1980.957726,18.34220116,
BAL5,no,dqn,10800,20,4,100,100,321,321,144.7249394,390.4421329,41000.99702,6833.499504,63.27314355,13614.84645,2269.141076,21.01056551,
BAL5,no,dqn,10800,20,4,100,100,305,305,149.2022656,425.543328,42316.76443,7052.794072,65.30364882,12704.19863,2117.366439,19.60524481,
BAL5,no,dqn,10800,20,4,100,100,325,325,155.1671359,396.1442207,43777.44423,7296.240705,67.5577843,10783.82935,1797.304891,16.64171196,
BAL5,no,dqn,10800,20,4,100,100,350,350,145.7899266,412.3075937,46081.90473,7680.317455,71.11405051,10222.78272,1703.79712,15.77589926,
BAL5,no,dqn,10800,20,4,100,100,280,280,137.9979356,395.6944951,38882.63869,6480.439782,60.00407205,15002.61711,2500.436185,23.1521869,
BAL5,no,dqn,10800,20,4,100,100,294,294,144.4663912,403.2920194,41909.71653,6984.952755,64.67548847,13198.18151,2199.696918,20.36756406,
BAL5,no,dqn,10800,20,4,100,100,290,290,161.6002506,408.2542184,40676.35471,6779.392451,62.77215232,13580.15346,2263.358909,20.95702694,
BAL5,no,dqn,10800,20,4,100,100,301,301,149.2526842,418.8733254,42341.90545,7056.984241,65.34244668,13385.9764,2230.996067,20.65737099,
BAL5,no,dqn,10800,20,4,100,100,313,313,147.9566917,411.6499141,43064.5992,7177.4332,66.45771481,11401.80069,1900.300115,17.59537143,
BAL5,no,dqn,10800,20,4,100,100,282,282,141.5004861,388.7954185,39196.68578,6532.780963,60.48871262,13613.90934,2268.98489,21.00911935,
BAL5,no,dqn,10800,20,4,100,100,315,315,153.9608746,456.9882704,44370.08711,7395.014518,68.47235665,11193.59082,1865.598469,17.2740599,
BAL5,no,dqn,10800,20,4,100,100,312,312,155.3745817,392.8401354,42763.94883,7127.324806,65.9937482,11755.99707,1959.332846,18.14197079,
BAL5,no,dqn,10800,20,4,100,100,278,278,157.8562349,422.0003045,39046.0847,6507.680783,60.25630355,15458.94793,2576.491322,23.85640113,
BAL5,no,dqn,10800,20,4,100,100,321,321,150.9760092,415.3593722,43820.72425,7303.454041,67.62457445,10697.08566,1782.847609,16.50784823,
BAL5,no,dqn,10800,20,4,100,100,295,295,155.539352,443.3514446,42631.11786,7105.186309,65.78876212,12596.05485,2099.342475,19.43835625,
BAL5,no,dqn,10800,20,4,100,100,310,310,141.5745932,389.2820907,41399.60779,6899.934632,63.88828363,13514.0189,2252.336484,20.85496744,
